Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
12/12/2018,Paleo Tomatillo Pork,Lunch,1.0,Serving,300,8,20,37,n/a,18,7,n/a,n/a
12/12/2018,Hinter-gatherer Chicken,Lunch,1.0,Serving,300,6,34,30,1.50,11,5,80,690
12/12/2018,"Barbecue Sauce, Slow-simmered Original",Lunch,4.0,Tablespoons,120,0,0,30,0,26,0,0,700
12/12/2018,Baked chicken wings w/skin,Dinner,6.0,Pieces,594,42,54,0,12,0,0,174,168
12/12/2018,"Pizza, Classic, Pepperoni",Dinner,1.0,Piece,278,11.25,13.38,31.13,5.13,3.25,1.50,24.38,542.50
12/12/2018,"Salad, Walnut, Blueberry, & Goat Cheese",Dinner,0.5,Each,235,16,7.50,17.50,5,9.50,2.50,20,200
12/12/2018,"Salad Dressing, Blue Cheese",Dinner,0.25,Cup,286,30.66,0.82,2.77,4.96,2.9,0.24,18.60,558
12/12/2018,"Chicken Nuggets, 4 Piece",Dinner,2.0,Pieces,90,6.50,5,5,1.25,0,0.50,15,195
12/12/2018,"Combat Powder, Chocolate Milk",Morning Nosh,1.25,Scoops,163,1.88,31.25,6.25,1.25,2.50,1.25,57.50,187.50
12/12/2018,Snack Bites Turkey,Morning Nosh,10.0,Pieces,133,6.67,10,8.33,1.67,8.33,0,33.33,466.67
12/12/2018,"Cheese, Cheddar",Morning Nosh,2.0,Ounces,223,18.22,14.17,0,10.12,0,0,60.75,364.49
12/12/2018,"Peanut Butter, Creamy",Morning Nosh,1.0,Tablespoon,94,8.6,4.1,3.13,1.68,1.48,0.96,0,73.44
12/12/2018,"Ice Cream, Chocolate, Waffle Cone, Scoop",Dessert,1.25,Each,480,18.75,10,68.75,11.25,45,2.50,110,178.75
12/11/2018,Egg White Chicken Grill,Breakfast,1.0,Serving,300,6,25,31,3,1,1,55,970
12/11/2018,Medium Fruit Cup,Breakfast,2.0,Servings,90,0,0,24,0,18,4,0,0
12/11/2018,Yogurt,Breakfast,1.0,Serving,140,4,20,6,2.50,6,0,20,65
12/11/2018,Southwest Styke Chicken,Lunch,1.0,Serving,300,6,35,27,3,4,3,90,490
12/11/2018,Roasted Garlic & Olive Oil,Dinner,65.0,Grams,221,17.41,8.13,46.43,0,0,2.32,0,580.36
12/11/2018,Corn on cob,Dinner,1.0,Serving,99,0.50,3,19,n/a,n/a,2,n/a,n/a
12/11/2018,"Butter, Pure Irish",Dinner,1.0,Tablespoon,100,11,0,0,8,0,0,30,0
12/11/2018,"Steak, Ribeye, 12 Oz",Dinner,1.667,Each,"1,517",113.36,120.2,0,41.67,n/a,n/a,n/a,2100.42
12/11/2018,Cookies and Cream Protein Powder,Morning Nosh,35.0,Grams,140,2,25,5,1,2,1,45,100
12/11/2018,Protein Coffee,Morning Nosh,1.0,Serving,130,2.50,20,5,1,2,0,30,130
12/10/2018,Triple Meat Whataburger,Dinner,1.0,Each,"1,080",63,65,62,21,12,4,130,1720
12/10/2018,Whatachicken Strips,Dinner,1.0,Serving,590,28,26,42,5,2,2,65,1370
12/10/2018,Cookies and Cream Protein Powder,Dessert,35.0,Grams,140,2,25,5,1,2,1,45,100
12/10/2018,"Greek Yogurt, Total, 2%, Single Serve",Dessert,7.0,Ounces,140,4,20,6,2.50,6,0,20,65
12/10/2018,Hemp Bar Cookie Dough,Dessert,1.0,Serving,220,13,12,18,1.50,4,5,n/a,100
12/10/2018,"Combat Powder, Chocolate Milk",Morning Nosh,1.25,Scoops,163,1.88,31.25,6.25,1.25,2.50,1.25,57.50,187.50
12/16/2018,Calorie Burn Bonus,Exercise,0,minutes,344.0
12/15/2018,HealthKit Workout,Exercise,60,minutes,0.0
12/15/2018,Calorie Burn Bonus,Exercise,0,minutes,945.0
12/14/2018,HealthKit Workout,Exercise,99,minutes,0.0
12/14/2018,Calorie Burn Bonus,Exercise,0,minutes,1237.0
12/13/2018,HealthKit Workout,Exercise,68,minutes,0.0
12/13/2018,Calorie Burn Bonus,Exercise,0,minutes,1079.0
12/12/2018,HealthKit Workout,Exercise,86,minutes,0.0
12/12/2018,Calorie Burn Bonus,Exercise,0,minutes,1203.0
12/11/2018,HealthKit Workout,Exercise,37,minutes,0.0
12/11/2018,Calorie Burn Bonus,Exercise,0,minutes,771.0
12/10/2018,HealthKit Workout,Exercise,64,minutes,0.0
12/10/2018,Calorie Burn Bonus,Exercise,0,minutes,818.0
